# Analizando ../fac-sdl/assets/music/song68.ogg (44100 Hz)
# Umbral: 1.80x | Energia Minima: 1.50
# tiempo;duracion;carril
0.023;0.00;-1
0.139;0.00;-1
0.255;0.00;-1
0.395;0.00;-1
1.486;0.00;-1
1.927;0.00;-1
2.345;0.00;-1
2.786;0.00;-1
3.204;0.00;-1
3.646;0.00;-1
4.063;0.00;-1
4.481;0.00;-1
4.923;0.00;-1
5.341;0.00;-1
5.782;0.00;-1
6.200;0.00;-1
6.641;0.00;-1
7.059;0.00;-1
7.500;0.00;-1
7.918;0.00;-1
8.359;0.00;-1
8.777;0.00;-1
9.218;0.00;-1
9.636;0.00;-1
10.054;0.00;-1
10.495;0.00;-1
10.913;0.00;-1
11.355;0.00;-1
11.773;0.00;-1
12.214;0.00;-1
12.632;0.00;-1
13.073;0.00;-1
13.491;0.00;-1
13.932;0.00;-1
14.350;0.00;-1
14.768;0.00;-1
15.209;0.00;-1
15.627;0.00;-1
16.068;0.00;-1
16.486;0.00;-1
16.927;0.00;-1
17.345;0.00;-1
17.786;0.00;-1
18.204;0.00;-1
18.646;0.00;-1
19.064;0.00;-1
19.482;0.00;-1
19.923;0.00;-1
20.341;0.00;-1
20.875;0.00;-1
21.200;0.00;-1
21.734;0.00;-1
22.059;0.00;-1
22.175;0.00;-1
22.500;0.00;-1
22.918;0.00;-1
23.359;0.00;-1
23.777;0.00;-1
24.636;0.00;-1
25.054;0.00;-1
25.496;0.00;-1
25.913;0.00;-1
26.355;0.00;-1
26.773;0.00;-1
27.214;0.00;-1
27.632;0.00;-1
28.073;0.00;-1
28.491;0.00;-1
28.979;0.00;-1
29.350;0.00;-1
30.209;0.00;-1
31.092;0.00;-1
31.486;0.00;-1
31.927;0.00;-1
32.345;0.00;-1
32.787;0.00;-1
33.205;0.00;-1
33.646;0.00;-1
35.132;0.00;-1
35.248;0.00;-1
35.364;0.00;-1
35.480;0.00;-1
35.596;0.00;-1
35.712;0.00;-1
35.828;0.00;-1
35.944;0.00;-1
36.061;0.00;-1
36.177;0.00;-1
36.293;0.00;-1
37.547;0.00;-1
40.054;0.00;-1
41.773;0.00;-1
43.050;0.00;-1
43.491;0.00;-1
43.909;0.00;-1
44.350;0.00;-1
44.768;0.00;-1
45.627;0.00;-1
46.068;0.00;-1
46.486;0.00;-1
46.951;0.00;-1
47.345;0.00;-1
48.205;0.00;-1
48.646;0.00;-1
49.064;0.00;-1
49.528;0.00;-1
51.200;0.00;-1
52.059;0.00;-1
52.918;0.00;-1
53.336;0.00;-1
53.777;0.00;-1
54.195;0.00;-1
54.637;0.00;-1
55.055;0.00;-1
55.496;0.00;-1
55.914;0.00;-1
56.355;0.00;-1
59.025;0.00;-1
59.350;0.00;-1
60.209;0.00;-1
61.486;0.00;-1
62.346;0.00;-1
62.764;0.00;-1
63.205;0.00;-1
64.064;0.00;-1
64.482;0.00;-1
65.341;0.00;-1
66.200;0.00;-1
66.641;0.00;-1
67.059;0.00;-1
67.524;0.00;-1
67.918;0.00;-1
68.360;0.00;-1
68.778;0.00;-1
69.637;0.00;-1
70.496;0.00;-1
70.914;0.00;-1
71.773;0.00;-1
72.632;0.00;-1
73.096;0.00;-1
73.491;0.00;-1
73.909;0.00;-1
74.768;0.00;-1
75.209;0.00;-1
75.627;0.00;-1
76.069;0.00;-1
76.487;0.00;-1
76.974;0.00;-1
77.787;0.00;-1
79.923;0.00;-1
81.200;0.00;-1
81.641;0.00;-1
82.059;0.00;-1
82.524;0.00;-1
82.918;0.00;-1
83.778;0.00;-1
84.196;0.00;-1
84.637;0.00;-1
85.055;0.00;-1
85.496;0.00;-1
85.914;0.00;-1
86.773;0.00;-1
87.214;0.00;-1
87.632;0.00;-1
88.097;0.00;-1
88.491;0.00;-1
88.909;0.00;-1
89.768;0.00;-1
90.233;0.00;-1
91.487;0.00;-1
91.928;0.00;-1
92.346;0.00;-1
93.205;0.00;-1
93.623;0.00;-1
94.064;0.00;-1
94.482;0.00;-1
95.341;0.00;-1
95.782;0.00;-1
96.200;0.00;-1
96.572;0.00;-1
97.059;0.00;-1
97.547;0.00;-1
98.801;0.00;-1
99.219;0.00;-1
100.914;0.00;-1
101.355;0.00;-1
101.773;0.00;-1
102.632;0.00;-1
103.050;0.00;-1
103.491;0.00;-1
104.350;0.00;-1
104.768;0.00;-1
105.628;0.00;-1
106.487;0.00;-1
107.346;0.00;-1
109.064;0.00;-1
109.505;0.00;-1
109.923;0.00;-1
110.782;0.00;-1
112.060;0.00;-1
113.337;0.00;-1
113.778;0.00;-1
115.055;0.00;-1
115.914;0.00;-1
116.773;0.00;-1
116.982;0.00;-1
117.238;0.00;-1
118.491;0.00;-1
118.933;0.00;-1
119.351;0.00;-1
119.769;0.00;-1
120.210;0.00;-1
120.535;0.00;-1
121.069;0.00;-1
121.487;0.00;-1
121.928;0.00;-1
122.346;0.00;-1
122.787;0.00;-1
123.205;0.00;-1
123.646;0.00;-1
124.064;0.00;-1
124.482;0.00;-1
124.923;0.00;-1
125.341;0.00;-1
125.782;0.00;-1
126.200;0.00;-1
