# Analizando assets/music/zenith_sector/bg_start_3.ogg (44100 Hz)
# Umbral: 0.60x | Energia Minima: 0.30
# tiempo;duracion;carril

0.000;0.00;-1
0.000;0.00;-1
0.000;0.00;-1
0.000;0.00;-1
0.116;0.00;-1
0.232;0.00;-1
0.348;0.00;-1
0.464;0.00;-1
0.580;0.00;-1
0.697;0.00;-1
0.813;0.00;-1
0.929;0.00;-1
1.045;0.00;-1
1.161;0.00;-1
1.277;0.00;-1
1.393;0.00;-1
1.509;0.00;-1
1.625;0.00;-1
1.741;0.00;-1
1.858;0.00;-1
1.974;0.00;-1
2.090;0.00;-1
2.206;0.00;-1
2.322;0.00;-1
2.438;0.00;-1
2.554;0.00;-1
2.670;0.00;-1
2.786;0.00;-1
2.902;0.00;-1
3.019;0.00;-1
3.135;0.00;-1
3.251;0.00;-1
3.367;0.00;-1
3.483;0.00;-1
3.599;0.00;-1
3.715;0.00;-1
3.831;0.00;-1
3.947;0.00;-1
4.063;0.00;-1
4.180;0.00;-1
4.296;0.00;-1
4.412;0.00;-1
4.528;0.00;-1
4.644;0.00;-1
4.760;0.00;-1
4.876;0.00;-1
4.992;0.00;-1
5.108;0.00;-1
5.224;0.00;-1
5.341;0.00;-1
5.457;0.00;-1
5.573;0.00;-1
5.689;0.00;-1
5.805;0.00;-1
5.921;0.00;-1
6.037;0.00;-1
6.153;0.00;-1
6.269;0.00;-1
6.385;0.00;-1
6.502;0.00;-1
6.618;0.00;-1
6.734;0.00;-1
6.850;0.00;-1
6.966;0.00;-1
7.082;0.00;-1
7.198;0.00;-1
7.314;0.00;-1
7.430;0.00;-1
7.546;0.00;-1
7.663;0.00;-1
7.779;0.00;-1
7.895;0.00;-1
8.011;0.00;-1
8.127;0.00;-1
8.243;0.00;-1
8.359;0.00;-1
8.475;0.00;-1
8.591;0.00;-1
8.707;0.00;-1
8.824;0.00;-1
8.940;0.00;-1
9.056;0.00;-1
9.172;0.00;-1
9.288;0.00;-1
9.404;0.00;-1
9.520;0.00;-1
